Date,Category,Payment Mode,Description,Amount Paid,Cashback
2023-04-01,Travel,Online,Tour Activities,2194.17,111.06
2023-04-02,Transportation,Cash,Car Insurance,2987.59,232.7
2023-04-02,Transportation,Online,Parking Fees,813.43,57.67
2023-04-03,Entertainment,Cash,Hobby Supplies,1009.97,6.75
2023-04-03,Subscriptions,Online,Cloud Storage Services,100.29,9.72
2023-04-03,Health & Fitness,Cash,Physical Therapy Sessions,945.07,3.76
2023-04-03,Entertainment,Online,Books And E-Books,971.87,54.74
2023-04-03,Dining Out,Online,Coffee Shop Visit,106.74,5.87
2023-04-04,Groceries,Cash,Cleaning Supplies,1465.74,37.81
2023-04-04,Entertainment,Cash,Sports Events Tickets,1443.56,106.67
2023-04-04,Subscriptions,Online,Digital Magazine Subscriptions,488.33,5.07
2023-04-04,Utilities,Online,Internet Service,1912.37,48.16
2023-04-05,Groceries,Online,Frozen Foods,1036.28,59.75
2023-04-06,Health & Fitness,Cash,Personal Training Sessions,4319.07,72.93
2023-04-06,Transportation,Online,Toll Charges,448.02,12.65
2023-04-06,Dining Out,Online,Beverages At Bars,431.67,35.52
2023-04-06,Housing,Online,Utilities Included,1511.6,9.29
2023-04-06,Dining Out,Cash,Coffee Shop Visit,480.67,14.59
2023-04-07,Housing,Online,Rent Payment,15724.89,47.78
2023-04-07,Travel,Online,Travel Insurance,633.23,62.9
2023-04-07,Entertainment,Online,Art Supplies,617.27,61.14
2023-04-07,Health & Fitness,Cash,Health Screenings,1993.99,198.68
2023-04-07,Entertainment,Cash,Art Supplies,1312.69,84.31
2023-04-07,Dining Out,Online,Dinner At A Restaurant,1871.28,182.68
2023-04-08,Housing,Online,Utilities Included,631.03,21.29
2023-04-08,Clothing,Cash,Casual Wear,2205.71,185.75
2023-04-08,Subscriptions,Cash,Digital Magazine Subscriptions,294.37,23.68
2023-04-08,Groceries,Cash,Staple Grains,1006.11,72.83
2023-04-08,Subscriptions,Cash,Gym Membership,1472.3,76.79
2023-04-09,Groceries,Cash,Snacks And Beverages,1113.46,55.99
2023-04-09,Dining Out,Online,Coffee Shop Visit,351.18,24.96
2023-04-10,Utilities,Online,Maintenance Fees,1128.74,80.89
2023-04-10,Health & Fitness,Cash,Yoga Classes,905.41,21.6
2023-04-10,Groceries,Cash,Frozen Foods,375.4,34.25
2023-04-10,Transportation,Cash,Toll Charges,113.46,7.58
2023-04-11,Groceries,Cash,Fruits And Vegetables,1132.85,76.37
2023-04-11,Dining Out,Cash,Brunch With Friends,620.87,59.55
2023-04-11,Clothing,Cash,Athletic Wear,1369.83,130.58
2023-04-11,Housing,Cash,Appliance Purchases,17951.18,1468.14
2023-04-12,Groceries,Cash,Condiments And Spices,472.61,25.41
2023-04-12,Housing,Online,Appliance Purchases,13095.78,689.97
2023-04-12,Housing,Online,Rent Payment,12127.47,576.49
2023-04-12,Health & Fitness,Cash,Fitness Apps,214.56,7.66
2023-04-12,Dining Out,Online,Coffee Shop Visit,184.55,7.16
2023-04-13,Housing,Cash,Furnishings,9936.8,199.7
2023-04-13,Travel,Cash,Travel Insurance,896.62,79.22
2023-04-13,Dining Out,Online,Buffet Meals,1225.41,32.39
2023-04-14,Travel,Cash,Car Rentals,1427.06,111.48
2023-04-14,Utilities,Cash,Waste Disposal Fees,430.83,14.47
2023-04-14,Health & Fitness,Cash,Gym Membership,683.22,30.24
2023-04-14,Entertainment,Cash,Hobby Supplies,415.14,40.69
2023-04-14,Dining Out,Online,Dinner At A Restaurant,1287.28,35.13
2023-04-15,Clothing,Online,Fashion Accessories,608.58,1.71
2023-04-15,Groceries,Online,Baking Ingredients,653.42,22.73
2023-04-15,Groceries,Online,Organic Produce,2543.47,251.26
2023-04-15,Travel,Cash,Souvenirs,648.81,17.75
2023-04-15,Dining Out,Cash,Coffee Shop Visit,174.89,6.34
2023-04-16,Housing,Online,Home Insurance,877.75,52.04
2023-04-16,Entertainment,Cash,Art Supplies,1032.72,65.43
2023-04-17,Subscriptions,Cash,Gaming Subscriptions,1476.79,33.06
2023-04-17,Clothing,Cash,Children's Apparel,1343.88,96.62
2023-04-17,Utilities,Online,Maintenance Fees,816.1,52.65
2023-04-17,Health & Fitness,Cash,Health Insurance Premiums,1217.98,20.87
2023-04-17,Groceries,Online,Meat And Fish,4022.83,57.92
2023-04-18,Transportation,Online,Bicycle Repairs,727.05,30.31
2023-04-18,Dining Out,Cash,Coffee Shop Visit,292.01,17.62
2023-04-19,Groceries,Online,Staple Grains,1092.25,8.42
2023-04-19,Travel,Cash,Car Rentals,3132.8,92.79
2023-04-20,Utilities,Online,Mobile Phone Bill,574.96,24.92
2023-04-20,Entertainment,Cash,Video Games,3056.05,125.03
2023-04-20,Health & Fitness,Online,Health Screenings,598.05,11.71
2023-04-20,Entertainment,Online,Sports Events Tickets,2211.73,198.28
2023-04-21,Dining Out,Online,Desserts And Treats,150.32,12.2
2023-04-21,Entertainment,Cash,Sports Events Tickets,1559.59,132.77
